name,symbol
0x,ZRX
AdEx,ADX
Aeternity,AE
Aragon,ANT
Ardor,ARDR
ARK,ARK
ATMChain,ATM
Augur,REP
B3 Coin,B3
Bancor,BNT
Basic Attention Token,BAT
Binance Coin,BNB
BitBay,BAY
Bitcoin,BTC
Bitcoin Cash,BCH
BitcoinDark,BTCD
BitConnect,BCC
Bitshares,BTS
BlockNet,BLOCK
Byteball,GBYTE
Bytecoin,BCN
Bytom,BTM
Cardano,ADA
Civic,CVC
Cryptonex,CNX
Dash,DASH
Decred,DCR
DigiByte,DGB
Digix DAO,DGD
Dogecoin,DOGE
Edgeless,EDG
Electroneum,ETN
EOS,EOS
EtherDoge,EDOGE
Ethereum,ETH
Ethereum Classic,ETC
Ethos,ETHOS
Exchange Union,XUC
Factom,FCT
FirstCoin,FRST
FunFair,FUN
Gamecredits,GAME
Gas,GAS
Gnosis,GNO
Golem,GNT
GXShares,GXS
Iconomi,ICN
IOTA,IOT
Komodo,KMD
Lisk,LSK
Litecoin,LTC
Loopring,LRC
Lykke,LKK
MaidSafe Coin,MAID
Metal,MTL
Metaverse ETP,ETP
MobileGo,MGO
Monaco,MCO
MonaCoin,MONA
Monero,XMR
NavCoin,NAV
NEM,XEM
NEO,NEO
Nexus,NXS
Nxt,NXT
OmiseGo,OMG
Open Trading Network,OTN
Particl,PART
PayPie,PPP
PIVX,PIVX
Populous,PPT
PotCoin,POT
Power Ledger,POWR
Pura,PURA
QTUM,QTUM
Quantstamp,QSP
RadonPay,RDN
Regalcoin,REC
Ripple,XRP
SALT,SALT
Siacoin,SC
SingularDTV,SNGLS
Status,SNT
Steem,STEEM
Stellar,XLM
Storj,STORJ
Stratis,STRAT
Streamr DATAcoin,DATA
Substratum,SUB
SysCoin,SYS
TenX,PAY
Tether,USDT
TRON,TRX
Verge,XVG
Veritaseum,VERI
Vertcoin,VTC
Walton,WTC
Waves,WAVES
ZCash,ZEC
ZCoin,XZC